Age,Weight (kg),Height (cm),Gender,BMI,Meal Plan,Exercise Routine
56,87.0,167,Female,31.2,Low Calorie,Low Impact Exercise
55,89.1,196,Female,23.2,Balanced,Low Impact Exercise
27,52.1,173,Other,17.4,High Protein,Strength Training
37,97.5,156,Female,40.1,Low Calorie,Cardio
49,53.3,199,Female,13.5,High Protein,Cardio
38,56.6,174,Male,18.7,Balanced,Yoga
63,98.3,157,Female,39.9,Low Calorie,Yoga
61,75.0,152,Male,32.5,Low Calorie,Yoga
43,62.4,192,Female,16.9,High Protein,Yoga
43,53.4,165,Male,19.6,Balanced,Cardio
63,93.6,188,Other,26.5,Low Carb,Yoga
43,98.4,180,Female,30.4,Low Calorie,Cardio
42,65.4,169,Female,22.9,Balanced,Cardio
65,97.2,152,Female,42.1,Low Calorie,Yoga
61,88.8,172,Female,30.0,Low Calorie,Low Impact Exercise
43,71.1,192,Other,19.3,Balanced,Cardio
41,75.2,174,Female,24.8,Balanced,Yoga
38,69.4,192,Other,18.8,Balanced,Cardio
25,57.0,168,Male,20.2,Balanced,Cardio
61,74.9,189,Other,21.0,Balanced,Low Impact Exercise
55,92.2,150,Female,41.0,Low Calorie,Yoga
18,89.1,200,Other,22.3,Balanced,Cardio
34,84.3,185,Other,24.6,Balanced,Yoga
56,72.4,170,Other,25.1,Low Carb,Yoga
61,62.7,185,Female,18.3,High Protein,Yoga
37,77.7,195,Female,20.4,Balanced,Cardio
27,71.7,181,Other,21.9,Balanced,Strength Training
41,66.6,197,Male,17.2,High Protein,Cardio
43,81.3,173,Male,27.2,Low Carb,Yoga
53,94.3,154,Other,39.8,Low Calorie,Yoga
29,95.2,193,Other,25.6,Low Carb,Strength Training
25,73.4,188,Female,20.8,Balanced,Strength Training
34,90.0,168,Male,31.9,Low Calorie,Yoga
65,87.0,184,Other,25.7,Low Carb,Yoga
54,57.2,161,Female,22.1,Balanced,Yoga
47,81.2,199,Female,20.5,Balanced,Yoga
50,94.5,194,Female,25.1,Low Carb,Low Impact Exercise
31,67.5,169,Other,23.6,Balanced,Yoga
62,62.7,198,Male,16.0,High Protein,Yoga
27,79.9,199,Other,20.2,Balanced,Strength Training
19,59.2,160,Male,23.1,Balanced,Strength Training
49,64.1,151,Male,28.1,Low Carb,Cardio
49,72.5,165,Female,26.6,Low Carb,Cardio
61,99.6,169,Other,34.9,Low Calorie,Low Impact Exercise
33,92.7,186,Female,26.8,Low Carb,Cardio
52,58.8,163,Male,22.1,Balanced,Yoga
26,78.3,154,Female,33.0,Low Calorie,Strength Training
26,63.4,164,Male,23.6,Balanced,Strength Training
19,80.6,185,Female,23.6,Balanced,Strength Training
35,72.6,160,Other,28.4,Low Carb,Cardio
56,93.4,187,Female,26.7,Low Carb,Yoga
62,91.4,150,Female,40.6,Low Calorie,Low Impact Exercise
47,58.2,200,Male,14.6,High Protein,Cardio
44,88.8,194,Other,23.6,Balanced,Yoga
48,53.1,163,Male,20.0,Balanced,Cardio
31,63.2,198,Other,16.1,High Protein,Yoga
28,67.3,167,Male,24.1,Balanced,Strength Training
46,76.9,191,Other,21.1,Balanced,Yoga
21,61.4,171,Other,21.0,Balanced,Cardio
55,91.6,200,Other,22.9,Balanced,Low Impact Exercise
58,53.8,150,Male,23.9,Balanced,Low Impact Exercise
19,57.7,184,Other,17.0,High Protein,Cardio
33,94.0,169,Other,32.9,Low Calorie,Yoga
40,91.8,182,Female,27.7,Low Carb,Cardio
38,60.1,190,Other,16.6,High Protein,Cardio
38,97.7,178,Female,30.8,Low Calorie,Cardio
21,80.7,153,Female,34.5,Low Calorie,Cardio
46,99.6,162,Other,38.0,Low Calorie,Cardio
44,87.1,151,Male,38.2,Low Calorie,Yoga
39,54.2,152,Other,23.5,Balanced,Yoga
41,89.8,152,Other,38.9,Low Calorie,Cardio
57,89.3,199,Male,22.5,Balanced,Yoga
57,63.0,179,Male,19.7,Balanced,Low Impact Exercise
56,89.0,198,Male,22.7,Balanced,Low Impact Exercise
30,76.5,162,Other,29.1,Low Carb,Yoga
53,59.0,200,Female,14.8,High Protein,Yoga
65,85.8,157,Other,34.8,Low Calorie,Yoga
38,100.0,152,Other,43.3,Low Calorie,Cardio
47,59.3,151,Male,26.0,Low Carb,Cardio
54,57.7,154,Other,24.3,Balanced,Yoga
23,73.6,163,Female,27.7,Low Carb,Strength Training
59,52.8,156,Other,21.7,Balanced,Yoga
58,69.1,184,Other,20.4,Balanced,Low Impact Exercise
18,67.5,192,Female,18.3,High Protein,Cardio
22,71.7,175,Female,23.4,Balanced,Cardio
27,57.7,161,Other,22.3,Balanced,Strength Training
47,92.4,185,Other,27.0,Low Carb,Yoga
47,63.2,158,Other,25.3,Low Carb,Yoga
41,89.7,155,Male,37.3,Low Calorie,Yoga
63,61.8,156,Male,25.4,Low Carb,Yoga
33,66.0,200,Male,16.5,High Protein,Yoga
33,79.0,156,Other,32.5,Low Calorie,Yoga
54,77.3,179,Male,24.1,Balanced,Yoga
48,50.7,150,Male,22.5,Balanced,Yoga
40,72.0,179,Female,22.5,Balanced,Cardio
20,99.1,158,Other,39.7,Low Calorie,Cardio
27,72.0,177,Male,23.0,Balanced,Cardio
46,77.0,154,Other,32.5,Low Calorie,Cardio
40,59.4,174,Female,19.6,Balanced,Cardio
40,77.3,192,Other,21.0,Balanced,Yoga
50,71.4,159,Male,28.2,Low Carb,Yoga
19,51.0,159,Male,20.2,Balanced,Strength Training
57,85.1,175,Female,27.8,Low Carb,Yoga
53,67.1,158,Other,26.9,Low Carb,Yoga
28,56.7,188,Other,16.0,High Protein,Strength Training
42,73.6,188,Other,20.8,Balanced,Yoga
35,69.3,157,Female,28.1,Low Carb,Cardio
64,57.0,193,Other,15.3,High Protein,Low Impact Exercise
50,67.9,171,Male,23.2,Balanced,Yoga
28,63.7,177,Female,20.3,Balanced,Strength Training
48,56.8,185,Female,16.6,High Protein,Cardio
57,63.0,177,Other,20.1,Balanced,Low Impact Exercise
23,71.3,164,Other,26.5,Low Carb,Cardio
58,85.2,200,Male,21.3,Balanced,Low Impact Exercise
20,82.8,184,Female,24.5,Balanced,Cardio
20,68.5,158,Male,27.4,Low Carb,Strength Training
50,64.2,176,Other,20.7,Balanced,Low Impact Exercise
30,64.9,196,Male,16.9,High Protein,Cardio
23,60.6,158,Other,24.3,Balanced,Strength Training
22,76.8,167,Other,27.5,Low Carb,Cardio
49,71.9,152,Other,31.1,Low Calorie,Cardio
51,74.6,151,Male,32.7,Low Calorie,Low Impact Exercise
25,84.5,188,Female,23.9,Balanced,Cardio
62,96.6,175,Male,31.5,Low Calorie,Yoga
53,96.2,173,Female,32.1,Low Calorie,Low Impact Exercise
45,73.3,190,Male,20.3,Balanced,Yoga
49,78.7,165,Male,28.9,Low Carb,Cardio
60,92.9,181,Female,28.4,Low Carb,Yoga
30,54.5,162,Female,20.8,Balanced,Yoga
62,66.1,178,Other,20.9,Balanced,Yoga
19,88.8,189,Other,24.9,Low Calorie,Cardio
22,60.0,167,Other,21.5,Balanced,Cardio
43,71.8,173,Male,24.0,Balanced,Yoga
43,69.7,187,Female,19.9,Balanced,Cardio
49,75.5,169,Male,26.4,Low Carb,Cardio
24,92.2,168,Other,32.7,Low Calorie,Cardio
23,91.5,189,Male,25.6,Low Carb,Cardio
50,50.7,190,Other,14.0,High Protein,Low Impact Exercise
28,74.7,163,Female,28.1,Low Carb,Cardio
51,94.4,188,Female,26.7,Low Carb,Yoga
63,50.6,150,Female,22.5,Balanced,Low Impact Exercise
21,84.0,197,Male,21.6,Balanced,Strength Training
28,55.6,174,Other,18.4,High Protein,Strength Training
27,64.2,166,Female,23.3,Balanced,Cardio
24,69.2,167,Other,24.8,Balanced,Strength Training
28,91.0,187,Male,26.0,Low Carb,Cardio
23,74.7,182,Female,22.6,Balanced,Cardio
56,73.8,156,Male,30.3,Low Calorie,Low Impact Exercise
20,59.1,180,Other,18.2,High Protein,Strength Training
32,70.2,176,Female,22.7,Balanced,Yoga
31,56.1,183,Male,16.8,High Protein,Cardio
30,66.5,200,Male,16.6,High Protein,Yoga
59,52.1,188,Male,14.7,High Protein,Low Impact Exercise
40,67.8,156,Female,27.9,Low Carb,Cardio
59,57.5,195,Other,15.1,High Protein,Low Impact Exercise
54,78.4,163,Other,29.5,Low Carb,Low Impact Exercise
43,51.8,197,Female,13.3,High Protein,Yoga
38,81.3,196,Male,21.2,Balanced,Yoga
61,92.1,190,Male,25.5,Low Carb,Low Impact Exercise
60,96.9,154,Male,40.9,Low Calorie,Yoga
48,86.2,197,Male,22.2,Balanced,Cardio
33,84.2,153,Other,36.0,Low Calorie,Yoga
52,88.1,181,Other,26.9,Low Carb,Low Impact Exercise
55,93.7,162,Female,35.7,Low Calorie,Low Impact Exercise
43,69.6,168,Other,24.7,Balanced,Cardio
41,96.0,172,Female,32.4,Low Calorie,Yoga
29,55.2,166,Male,20.0,Balanced,Cardio
59,75.5,164,Female,28.1,Low Carb,Low Impact Exercise
30,98.9,187,Other,28.3,Low Carb,Cardio
41,84.9,182,Male,25.6,Low Carb,Yoga
54,72.5,196,Male,18.9,Balanced,Low Impact Exercise
45,64.3,189,Female,18.0,High Protein,Cardio
60,82.7,167,Male,29.7,Low Carb,Yoga
57,87.9,179,Male,27.4,Low Carb,Yoga
44,66.5,196,Other,17.3,High Protein,Cardio
19,64.5,154,Female,27.2,Low Carb,Strength Training
33,72.3,185,Female,21.1,Balanced,Cardio
21,94.8,199,Other,23.9,Balanced,Cardio
28,88.5,193,Female,23.8,Balanced,Cardio
59,81.2,189,Male,22.7,Balanced,Low Impact Exercise
23,74.4,185,Female,21.7,Balanced,Cardio
47,60.6,175,Male,19.8,Balanced,Cardio
45,79.1,197,Other,20.4,Balanced,Yoga
23,60.9,194,Male,16.2,High Protein,Cardio
51,56.3,162,Male,21.5,Balanced,Low Impact Exercise
47,99.4,193,Male,26.7,Low Carb,Yoga
49,79.0,167,Female,28.3,Low Carb,Yoga
